Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,WeekOfYear,SP500_Close,Temp_Fuel,CPI_Unemployment,Temp_Day,Sales_Lag1,Sales_Lag2,Sales_MA_4,Sales_MA_12
1,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,23,16,1217.280029296875,181.2278,1643.1086708224,1491.3200000000002,1466058.28,1545418.53,1499425.3025,1514694.9408333332
1,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,30,17,1186.68994140625,187.3998,1642.7215720447998,2022.3,1391256.12,1466058.28,1456958.41,1496479.0916666668
1,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,7,18,1110.8800048828125,205.67925,1642.3344732672,507.85,1425100.71,1391256.12,1471592.5575,1493312.2316666667
1,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,14,19,1135.6800537109375,213.42212,1642.3146229887998,1046.92,1603955.12,1425100.71,1478640.8625,1483502.5091666663
1,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,21,20,1087.68994140625,216.01944,1644.4982652672,1605.24,1494251.5,1603955.12,1480742.35,1482663.715833333
1,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,28,21,1089.4100341796875,221.93396,1646.6819067647998,2252.32,1399662.07,1494251.5,1482484.66,1472435.655
1,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,4,22,1064.8800048828125,218.26645,1648.8655482624,322.76,1432069.95,1399662.07,1485377.0575,1487100.915
1,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,11,23,1091.5999755859375,214.58724000000004,1651.0491905408,884.73,1615524.71,1432069.95,1497454.455,1492938.0233333334
1,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,18,24,1117.510009765625,221.79807,1651.0310509951998,1513.98,1542561.09,1615524.71,1523359.9525,1501175.8683333334
1,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,25,1076.760009765625,223.75402,1650.1321995008,2108.5,1503284.06,1542561.09,1521020.365,1486821.1450000005
1,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,2,26,1022.5800170898438,215.94879,1644.7976538071,161.82,1422711.6,1503284.06,1490243.7225,1482404.4458333335
1,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,9,27,1077.9599609375,212.62816,1643.901219818,724.32,1492418.14,1422711.6,1491121.995,1489072.4375
1,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,16,28,1064.8800048828125,218.10245000000003,1643.8387011098,1330.4,1546074.18,1492418.14,1477535.71,1493879.3375
1,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,23,29,1102.6600341796875,217.40288,1644.8880686641,1917.28,1448938.92,1546074.18,1468124.11,1490543.045
1,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,30,1101.5999755859375,216.0576,1645.9374362184,2455.2000000000003,1385065.2,1448938.92,1438016.225,1471212.335
1,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,6,31,1121.6400146484375,228.96932,1646.9868037727,522.96,1371986.6,1385065.2,1452870.625,1480482.3583333334
1,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,13,32,1079.25,234.204,1648.0361721057,1131.0,1605491.78,1371986.6,1467695.335,1489530.3325000005
1,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,20,33,1071.68994140625,230.83560000000003,1647.7553900171,1733.0,1508237.76,1605491.78,1499699.1575,1496281.2108333334
1,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,27,34,1064.5899658203125,223.19118,1647.4746087072,2300.94,1513080.49,1508237.76,1518988.2374999998,1482416.0616666668
